name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
ESC_AA7971AA_AS	  1.78	7	7	U	0	unclassified
ESC_AA7971AA_AS	 98.22	387	1	R	1	root
ESC_AA7971AA_AS	 97.97	386	0	R1	131567	  cellular organisms
ESC_AA7971AA_AS	 80.96	319	0	D	2759	    Eukaryota
ESC_AA7971AA_AS	 80.96	319	0	D1	33154	      Opisthokonta
ESC_AA7971AA_AS	 80.96	319	0	K	33208	        Metazoa
ESC_AA7971AA_AS	 80.96	319	0	K1	6072	          Eumetazoa
ESC_AA7971AA_AS	 80.96	319	0	K2	33213	            Bilateria
ESC_AA7971AA_AS	 80.96	319	0	K3	33511	              Deuterostomia
ESC_AA7971AA_AS	 80.96	319	0	P	7711	                Chordata
ESC_AA7971AA_AS	 80.96	319	0	P1	89593	                  Craniata
ESC_AA7971AA_AS	 80.96	319	0	P2	7742	                    Vertebrata
ESC_AA7971AA_AS	 80.96	319	0	P3	7776	                      Gnathostomata
ESC_AA7971AA_AS	 80.96	319	0	P4	117570	                        Teleostomi
ESC_AA7971AA_AS	 80.96	319	0	P5	117571	                          Euteleostomi
ESC_AA7971AA_AS	 80.96	319	0	P6	8287	                            Sarcopterygii
ESC_AA7971AA_AS	 80.96	319	0	P7	1338369	                              Dipnotetrapodomorpha
ESC_AA7971AA_AS	 80.96	319	0	P8	32523	                                Tetrapoda
ESC_AA7971AA_AS	 80.96	319	0	P9	32524	                                  Amniota
ESC_AA7971AA_AS	 80.96	319	0	C	40674	                                    Mammalia
ESC_AA7971AA_AS	 80.96	319	0	C1	32525	                                      Theria
ESC_AA7971AA_AS	 80.96	319	0	C2	9347	                                        Eutheria
ESC_AA7971AA_AS	 80.96	319	0	C3	1437010	                                          Boreoeutheria
ESC_AA7971AA_AS	 80.96	319	0	C4	314146	                                            Euarchontoglires
ESC_AA7971AA_AS	 80.96	319	0	O	9443	                                              Primates
ESC_AA7971AA_AS	 80.96	319	0	O1	376913	                                                Haplorrhini
ESC_AA7971AA_AS	 80.96	319	0	O2	314293	                                                  Simiiformes
ESC_AA7971AA_AS	 80.96	319	0	O3	9526	                                                    Catarrhini
ESC_AA7971AA_AS	 80.96	319	0	O4	314295	                                                      Hominoidea
ESC_AA7971AA_AS	 80.96	319	0	F	9604	                                                        Hominidae
ESC_AA7971AA_AS	 80.96	319	0	F1	207598	                                                          Homininae
ESC_AA7971AA_AS	 80.96	319	0	G	9605	                                                            Homo
ESC_AA7971AA_AS	 80.96	319	319	S	9606	                                                              Homo sapiens
ESC_AA7971AA_AS	 17.01	67	0	D	2	    Bacteria
ESC_AA7971AA_AS	 17.01	67	0	P	1224	      Proteobacteria
ESC_AA7971AA_AS	 17.01	67	0	C	1236	        Gammaproteobacteria
ESC_AA7971AA_AS	 17.01	67	0	O	91347	          Enterobacterales
ESC_AA7971AA_AS	 17.01	67	2	F	543	            Enterobacteriaceae
ESC_AA7971AA_AS	 16.50	65	0	G	561	              Escherichia
ESC_AA7971AA_AS	 16.50	65	39	S	562	                Escherichia coli
