name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
ESC_KB3395AA_AS	 97.95	334	225	S	562	                Escherichia coli
ESC_WA6970AA_AS	 97.47	77	50	S	562	                Escherichia coli
ESC_WA6888AA_AS	 97.22	70	48	S	562	                Escherichia coli
ESC_NA3985AA_AS	 96.75	119	82	S	562	                Escherichia coli
ESC_HA9073AA_AS	 96.72	59	36	S	562	                Escherichia coli
ESC_WA6927AA_AS	 96.61	57	39	S	562	                Escherichia coli
ESC_QA6616AA_AS	 96.57	197	139	S	562	                Escherichia coli
ESC_NA3996AA_AS	 96.41	188	146	S	562	                Escherichia coli
ESC_IB7609AA_AS	 96.36	53	34	S	562	                Escherichia coli
ESC_QA2182AA_AS	 96.30	312	264	S	562	                Escherichia coli
ESC_WA2637AA_AS	 95.68	155	96	S	562	                Escherichia coli
ESC_IB7449AA_AS	 95.56	86	65	S	562	                Escherichia coli
ESC_QA7942AA_AS	 95.22	219	139	S	562	                Escherichia coli
ESC_NA4029AA_AS	 95.20	119	81	S	562	                Escherichia coli
ESC_QA7947AA_AS	 94.76	217	169	S	562	                Escherichia coli
ESC_QA2890AA_AS	 94.72	556	514	S	562	                Escherichia coli
ESC_GB6906AA_AS	 94.62	88	59	S	562	                Escherichia coli
ESC_SA2728AA_AS	 94.59	70	48	S	562	                Escherichia coli
ESC_CA6770AA_AS	 94.53	121	87	S	562	                Escherichia coli
ESC_NA4054AA_AS	 94.22	163	120	S	562	                Escherichia coli
ESC_NA3972AA_AS	 94.09	175	138	S	562	                Escherichia coli
ESC_XA1384AA_AS	 93.91	108	71	S	562	                Escherichia coli
ESC_LA5763AA_AS	 93.62	44	18	S	562	                Escherichia coli
ESC_SA8273AA_AS	 93.59	146	103	S	562	                Escherichia coli
ESC_BA3227AA_AS	 93.50	115	87	S	562	                Escherichia coli
ESC_WA2654AA_AS	 93.33	84	51	S	562	                Escherichia coli
ESC_IA1449AA_AS	 93.24	69	44	S	562	                Escherichia coli
ESC_NA4005AA_AS	 93.23	234	182	S	562	                Escherichia coli
ESC_SA6572AA_AS	 93.15	68	50	S	562	                Escherichia coli
ESC_NA3971AA_AS	 93.01	253	205	S	562	                Escherichia coli
ESC_KB3369AA_AS	 92.91	262	176	S	562	                Escherichia coli
ESC_QA6460AA_AS	 92.79	103	69	S	562	                Escherichia coli
ESC_IB7582AA_AS	 92.79	103	65	S	562	                Escherichia coli
ESC_WA6857AA_AS	 92.77	77	49	S	562	                Escherichia coli
ESC_QA8950AA_AS	 92.50	111	77	S	562	                Escherichia coli
ESC_KA9267AA_AS	 92.37	109	68	S	562	                Escherichia coli
ESC_XA1141AA_AS	 92.16	94	59	S	562	                Escherichia coli
ESC_KB3275AA_AS	 92.14	211	135	S	562	                Escherichia coli
ESC_TA8724AA_AS	 92.13	117	81	S	562	                Escherichia coli
ESC_JA4488AA_AS	 92.13	82	46	S	562	                Escherichia coli
ESC_QA7436AA_AS	 91.98	218	170	S	562	                Escherichia coli
ESC_NA4016AA_AS	 91.94	57	33	S	562	                Escherichia coli
ESC_KB3273AA_AS	 91.90	227	144	S	562	                Escherichia coli
ESC_NA4053AA_AS	 91.70	265	212	S	562	                Escherichia coli
ESC_KB4162AA_AS	 91.62	164	96	S	562	                Escherichia coli
ESC_KA9598AA_AS	 91.53	108	65	S	562	                Escherichia coli
ESC_NA4040AA_AS	 91.38	106	74	S	562	                Escherichia coli
ESC_NA4013AA_AS	 91.30	42	23	S	562	                Escherichia coli
ESC_WA6925AA_AS	 91.25	73	51	S	562	                Escherichia coli
ESC_IB7499AA_AS	 91.21	83	54	S	562	                Escherichia coli
ESC_SA4839AA_AS	 91.11	82	65	S	562	                Escherichia coli
ESC_XA1115AA_AS	 91.07	102	75	S	562	                Escherichia coli
ESC_TA8706AA_AS	 90.91	100	67	S	562	                Escherichia coli
ESC_NA4018AA_AS	 90.91	130	95	S	562	                Escherichia coli
ESC_IB7635AA_AS	 90.91	60	38	S	562	                Escherichia coli
ESC_KA9324AA_AS	 90.74	98	57	S	562	                Escherichia coli
ESC_QA7345AA_AS	 90.68	214	167	S	562	                Escherichia coli
ESC_SA5048AA_AS	 90.65	126	93	S	562	                Escherichia coli
ESC_NA4003AA_AS	 90.43	170	127	S	562	                Escherichia coli
ESC_QA7877AA_AS	 90.41	198	152	S	562	                Escherichia coli
ESC_KB3427AA_AS	 90.41	198	122	S	562	                Escherichia coli
ESC_FB9641AA_AS	 90.41	66	42	S	562	                Escherichia coli
ESC_IB7669AA_AS	 90.36	75	48	S	562	                Escherichia coli
ESC_SA8243AA_AS	 90.34	131	89	S	562	                Escherichia coli
ESC_KB3428AA_AS	 90.22	166	118	S	562	                Escherichia coli
ESC_XA0482AA_AS	 90.16	55	26	S	562	                Escherichia coli
ESC_FA6906AA_AS	 90.10	91	57	S	562	                Escherichia coli
ESC_GA9224AA_AS	 90.09	200	129	S	562	                Escherichia coli
ESC_NA4015AA_AS	 90.08	109	60	S	562	                Escherichia coli
ESC_WA6851AA_AS	 90.00	90	63	S	562	                Escherichia coli
ESC_NA4000AA_AS	 90.00	216	170	S	562	                Escherichia coli
ESC_KA9265AA_AS	 90.00	90	49	S	562	                Escherichia coli
ESC_HA5031AA_AS	 90.00	54	34	S	562	                Escherichia coli
ESC_HA5153AA_AS	 89.87	71	45	S	562	                Escherichia coli
ESC_HA0198AA_AS	 89.87	71	48	S	562	                Escherichia coli
ESC_CB8726AA_AS	 89.86	62	36	S	562	                Escherichia coli
ESC_GA5351AA_AS	 89.83	106	72	S	562	                Escherichia coli
ESC_WA6976AA_AS	 89.74	70	47	S	562	                Escherichia coli
ESC_NA4028AA_AS	 89.62	95	69	S	562	                Escherichia coli
ESC_CA5933AA_AS	 89.62	95	74	S	562	                Escherichia coli
ESC_CA6692AA_AS	 89.58	86	60	S	562	                Escherichia coli
ESC_NA4002AA_AS	 89.56	163	120	S	562	                Escherichia coli
ESC_WA6853AA_AS	 89.53	77	56	S	562	                Escherichia coli
ESC_KA9597AA_AS	 89.47	119	74	S	562	                Escherichia coli
ESC_IB7532AA_AS	 89.47	85	65	S	562	                Escherichia coli
ESC_NA4024AA_AS	 89.43	110	76	S	562	                Escherichia coli
ESC_GB6899AA_AS	 89.29	75	54	S	562	                Escherichia coli
ESC_GB3934AA_AS	 89.29	50	30	S	562	                Escherichia coli
ESC_QA7981AA_AS	 89.26	133	98	S	562	                Escherichia coli
ESC_NA4030AA_AS	 89.22	91	66	S	562	                Escherichia coli
ESC_XA1321AA_AS	 89.13	82	55	S	562	                Escherichia coli
ESC_CA2243AA_AS	 89.11	90	63	S	562	                Escherichia coli
ESC_ZA9457AA_AS	 89.06	57	25	S	562	                Escherichia coli
ESC_IB7576AA_AS	 88.98	105	77	S	562	                Escherichia coli
ESC_XA4718AA_AS	 88.97	121	87	S	562	                Escherichia coli
ESC_QA8859AA_AS	 88.96	137	100	S	562	                Escherichia coli
ESC_GB6463AA_AS	 88.94	177	131	S	562	                Escherichia coli
ESC_HA7931AA_AS	 88.89	104	68	S	562	                Escherichia coli
ESC_HA2055AA_AS	 88.89	152	118	S	562	                Escherichia coli
ESC_GB6953AA_AS	 88.89	48	29	S	562	                Escherichia coli
ESC_KB3276AA_AS	 88.77	166	109	S	562	                Escherichia coli
ESC_NA4009AA_AS	 88.74	134	102	S	562	                Escherichia coli
ESC_WA6975AA_AS	 88.71	55	32	S	562	                Escherichia coli
ESC_LA5890AA_AS	 88.68	94	63	S	562	                Escherichia coli
ESC_XA1127AA_AS	 88.64	78	49	S	562	                Escherichia coli
ESC_QA5208AA_AS	 88.59	132	99	S	562	                Escherichia coli
ESC_QA8947AA_AS	 88.57	62	35	S	562	                Escherichia coli
ESC_QA7591AA_AS	 88.54	224	179	S	562	                Escherichia coli
ESC_IB7572AA_AS	 88.52	54	35	S	562	                Escherichia coli
ESC_ZA6514AA_AS	 88.51	77	40	S	562	                Escherichia coli
ESC_SA0489AA_AS	 88.51	77	38	S	562	                Escherichia coli
ESC_RA7116AA_AS	 88.50	100	65	S	562	                Escherichia coli
ESC_GB6690AA_AS	 88.42	84	62	S	562	                Escherichia coli
ESC_NA4001AA_AS	 88.39	137	98	S	562	                Escherichia coli
ESC_GB6892AA_AS	 88.31	68	47	S	562	                Escherichia coli
ESC_QA3675AA_AS	 88.30	151	109	S	562	                Escherichia coli
ESC_QA5539AA_AS	 88.29	181	133	S	562	                Escherichia coli
ESC_IB7668AA_AS	 88.24	45	29	S	562	                Escherichia coli
ESC_IB6619AA_AS	 88.24	60	36	S	562	                Escherichia coli
ESC_NA4071AA_AS	 88.19	127	90	S	562	                Escherichia coli
ESC_WA6856AA_AS	 88.17	82	57	S	562	                Escherichia coli
ESC_IB7630AA_AS	 88.14	52	34	S	562	                Escherichia coli
ESC_FA6908AA_AS	 88.14	52	33	S	562	                Escherichia coli
ESC_IB7713AA_AS	 88.07	96	74	S	562	                Escherichia coli
ESC_WA6933AA_AS	 88.00	88	58	S	562	                Escherichia coli
ESC_CB8931AA_AS	 87.95	73	51	S	562	                Escherichia coli
ESC_JA4581AA_AS	 87.93	102	75	S	562	                Escherichia coli
ESC_NA3994AA_AS	 87.88	116	80	S	562	                Escherichia coli
ESC_IB7611AA_AS	 87.84	65	41	S	562	                Escherichia coli
ESC_NA3973AA_AS	 87.78	158	114	S	562	                Escherichia coli
ESC_WA6852AA_AS	 87.76	86	62	S	562	                Escherichia coli
ESC_NA3974AA_AS	 87.70	107	74	S	562	                Escherichia coli
ESC_KB9714AA_AS	 87.69	114	75	S	562	                Escherichia coli
ESC_XA1186AA_AS	 87.67	64	39	S	562	                Escherichia coli
ESC_KB3279AA_AS	 87.67	199	134	S	562	                Escherichia coli
ESC_QA5479AA_AS	 87.66	135	101	S	562	                Escherichia coli
ESC_KB9735AA_AS	 87.60	113	77	S	562	                Escherichia coli
