#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_0011749.1.fasta	NC_011749.1	43550	44755	-	tet(B)	1-1206/1206	===============	0/0	100.00	99.75	card	AB089595:1-1207	Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.	rhodamine/peptide/fluoroquinolone/cephalosporin/tetracycline/acridine_dye/oxazolidinone/fosfomycin/phenicol/glycylcycline/benzalkonium_chloride/isoniazid/lincosamide/antibacterial_free_fatty_acids/bicyclomycin/diaminopyrimidine/penam/macrolide/nitroimidazole/rifamycin/nucleoside
NC_0011749.1.fasta	NC_011749.1	47524	47787	-	Shigella_flexneri_chloramphenicol_acetyltransferase	237-500/660	.....=======...	0/0	40.00	100.00	card	KF030445.1:23980-24640	A chloramphenicol acetyltransferase and chloramphenicol resistance determinant described in Shigella flexneri	phenicol
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NZ_CP010882.1.fasta	NZ_CP010882.1	67585	68445	+	TEM-1	1-861/861	===============	0/0	100.00	99.88	card	AL513383:161911-162772	TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.	penam/cephalosporin/penem/monobactam
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NZ_CP014493.1.fasta	NZ_CP014493.1	112065	112313	+	AAC(6')-Ib7	1-249/980	====...........	0/0	25.41	99.60	card	Y11946.1:1-981	AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii	aminoglycoside
NZ_CP014493.1.fasta	NZ_CP014493.1	112327	112800	+	dfrA17	1-474/474	===============	0/0	100.00	100.00	card	DQ838665:1-475	dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli	diaminopyrimidine
NZ_CP014493.1.fasta	NZ_CP014493.1	112931	113719	+	aadA5	1-789/789	===============	0/0	100.00	100.00	card	AF137361:64-853	aadA5 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons and integrons in E. coli K. pneumoniae Kluyvera georgiana P. aeruginosa and E. cloacae	aminoglycoside
NZ_CP014493.1.fasta	NZ_CP014493.1	114266	115105	+	sul1	1-840/840	===============	0/0	100.00	100.00	card	JF969163:1054-1894	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide
