name,clade_core_genome_alignment
NZ_CP007150,1
NZ_CP015160,0
NZ_CP018952,0
NZ_CP014668,1
NZ_CP010882,0
NZ_CP014493,0
NZ_CP014496,1
NZ_CP012634,1
NZ_CP014523,1
NZ_CP014498,0
NZ_CP015131,0
NC_013655,1
NC_017630,1
NC_007941,1
NC_0011749,1
NC_013175,0
