name	pMLST_scheme	pMLST
ESC_IA2239AA_AS	IncA/C PMLST	1
ESC_WA6923AA_AS	IncA/C PMLST	1
ESC_AA7971AA_AS	IncF RST	F-:A-:B10
ESC_AA9421AA_AS	IncF RST	F24:A-:B-
ESC_BA0967AA_AS	IncF RST	F98:A-:B-
ESC_BA1000AA_AS	IncF RST	F29:A-:B10
ESC_BA1242AA_AS	IncF RST	F-:A-:B-
ESC_BA1451AA_AS	IncF RST	F29:A-:B10
ESC_BA2267AA_AS	IncF RST	F95:A-:B10
ESC_BA2574AA_AS	IncF RST	F29:A-:B10
ESC_BA3061AA_AS	IncF RST	F4:A-:B10
ESC_BA3227AA_AS	IncF RST	F-:A-:B-
ESC_BA3967AA_AS	IncF RST	F-:A-:B-
ESC_BA4108AA_AS	IncF RST	C4:A5:B1
ESC_BA4389AA_AS	IncF RST	F2:A-:B1
ESC_BA5185AA_AS	IncF RST	F-:A-:B10
ESC_BA5541AA_AS	IncF RST	F29:A-:B10
ESC_BA6731AA_AS	IncF RST	F29:A-:B10
ESC_BA7454AA_AS	IncF RST	F29:A-:B10
ESC_BA7761AA_AS	IncF RST	F29:A-:B10
ESC_BA8039AA_AS	IncF RST	C4:A-:B1
ESC_BA8085AA_AS	IncF RST	F24:A-:B1
ESC_BA8137AA_AS	IncF RST	F24:A-:B-
ESC_BA8190AA_AS	IncF RST	F24:A-:B1
ESC_BA8258AA_AS	IncF RST	F29:A-:B10
ESC_BA8511AA_AS	IncF RST	F24:A-:B-
ESC_CA0637AA_AS	IncF RST	F34:A-:B-
ESC_CA0677AA_AS	IncF RST	F29:A-:B10
ESC_CA0894AA_AS	IncF RST	F51:A-:B10
ESC_CA0987AA_AS	IncF RST	F-:A-:B-
ESC_CA1134AA_AS	IncF RST	F29:A-:B10
ESC_CA1554AA_AS	IncF RST	F24:A-:B1
ESC_CA2031AA_AS	IncF RST	F24:A-:B1
ESC_CA2085AA_AS	IncF RST	F24:A-:B1
ESC_CA2243AA_AS	IncF RST	F98:A-:B-
ESC_CA2638AA_AS	IncF RST	F24:A-:B1
ESC_CA2654AA_AS	IncF RST	F-:A-:B-
ESC_CA2708AA_AS	IncF RST	F40:A-:B-
ESC_CA2713AA_AS	IncF RST	F29:A-:B10
ESC_CA2823AA_AS	IncF RST	F-:A-:B1
ESC_CA3069AA_AS	IncF RST	F24:A-:B1
ESC_CA3085AA_AS	IncF RST	F-:A-:B-
ESC_CA3089AA_AS	IncF RST	F24:A-:B-
ESC_CA3176AA_AS	IncF RST	F29:A-:B10
ESC_CA3553AA_AS	IncF RST	C4:A-:B8
ESC_CA3698AA_AS	IncF RST	F-:A6:B1
ESC_CA4056AA_AS	IncF RST	F24:A-:B1
ESC_CA4172AA_AS	IncF RST	F24:A-:B1
ESC_CA4203AA_AS	IncF RST	F2:A-:B1
ESC_CA4416AA_AS	IncF RST	F24:A-:B1
ESC_CA4774AA_AS	IncF RST	F2:A-:B-
ESC_CA4830AA_AS	IncF RST	F29:A-:B10
ESC_CA4887AA_AS	IncF RST	F24:A-:B1
ESC_CA4893AA_AS	IncF RST	F34:A-:B1
ESC_CA5088AA_AS	IncF RST	F29:A-:B10
ESC_CA5131AA_AS	IncF RST	F-:A-:B1
ESC_CA5222AA_AS	IncF RST	F24:A-:B1
ESC_CA5420AA_AS	IncF RST	F29:A-:B10
ESC_CA5467AA_AS	IncF RST	F2:A-:B1
ESC_CA5548AA_AS	IncF RST	F24:A-:B1
ESC_CA5584AA_AS	IncF RST	F2:A-:B1
ESC_CA5697AA_AS	IncF RST	F24:A-:B1
ESC_CA5710AA_AS	IncF RST	F24:A-:B1
ESC_CA5916AA_AS	IncF RST	F2:A-:B1
ESC_CA5933AA_AS	IncF RST	F24:A-:B1
ESC_CA6119AA_AS	IncF RST	F24:A-:B-
ESC_CA6132AA_AS	IncF RST	F29:A-:B10
ESC_CA6171AA_AS	IncF RST	F51:A-:B-
ESC_CA6221AA_AS	IncF RST	F24:A-:B1
ESC_CA6245AA_AS	IncF RST	F24:A-:B1
ESC_CA6287AA_AS	IncF RST	F24:A-:B1
ESC_CA6295AA_AS	IncF RST	F29:A-:B10
ESC_CA6692AA_AS	IncF RST	F29:A-:B10
ESC_CA6770AA_AS	IncF RST	F24:A-:B1
ESC_CB2269AA_AS	IncF RST	F2:A-:B-
ESC_CB2297AA_AS	IncF RST	F29:A-:B10
ESC_CB2309AA_AS	IncF RST	F24:A-:B1
ESC_CB2317AA_AS	IncF RST	F2:A-:B1
ESC_CB2345AA_AS	IncF RST	F36:A-:B32
ESC_CB2384AA_AS	IncF RST	F2:A-:B1
ESC_CB2447AA_AS	IncF RST	F2:A-:B1
ESC_CB2459AA_AS	IncF RST	F59:A-:B1
ESC_CB7223AA_AS	IncF RST	F2:A-:B1
ESC_CB8726AA_AS	IncF RST	F13:A-:B-
ESC_CB8729AA_AS	IncF RST	F24:A-:B1
ESC_CB8822AA_AS	IncF RST	F2:A-:B1
ESC_CB8832AA_AS	IncF RST	F13:A-:B-
ESC_CB8888AA_AS	IncF RST	F24:A-:B1
ESC_CB8931AA_AS	IncF RST	F24:A-:B1
ESC_CB9097AA_AS	IncF RST	F24:A-:B1
ESC_CB9169AA_AS	IncF RST	F13:A-:B-
ESC_FA1638AA_AS	IncF RST	F24:A-:B1
ESC_FA6906AA_AS	IncF RST	F51:A-:B10
ESC_FA6908AA_AS	IncF RST	F4:A-:B10
ESC_FA7190AA_AS	IncF RST	F2:A-:B1
ESC_FA8050AA_AS	IncF RST	F16:A-:B-
ESC_FB3739AA_AS	IncF RST	F2:A-:B1
ESC_FB7924AA_AS	IncF RST	F2:A-:B1
ESC_FB9215AA_AS	IncF RST	C4:A5:B1
ESC_FB9587AA_AS	IncF RST	F2:A-:B1
ESC_FB9640AA_AS	IncF RST	F4:A5:B-
ESC_FB9641AA_AS	IncF RST	F-:A-:B-
ESC_FB9675AA_AS	IncF RST	K7:A1:B23
ESC_FB9847AA_AS	IncF RST	F29:A-:B10
ESC_GA5350AA_AS	IncF RST	F2:A-:B1
ESC_GA5351AA_AS	IncF RST	F51:A-:B10
ESC_GA8819AA_AS	IncF RST	F29:A-:B10
ESC_GA8857AA_AS	IncF RST	F2:A-:B1
ESC_GA9224AA_AS	IncF RST	F4:A-:B-
ESC_GA9272AA_AS	IncF RST	F29:A-:B10
ESC_GB3527AA_AS	IncF RST	F2:A-:B1
ESC_GB3799AA_AS	IncF RST	F51:A-:B10
ESC_GB3897AA_AS	IncF RST	F51:A-:B10
ESC_GB3934AA_AS	IncF RST	F4:A-:B10
ESC_GB5978AA_AS	IncF RST	F51:A-:B10
ESC_GB6068AA_AS	IncF RST	F29:A-:B10
ESC_GB6087AA_AS	IncF RST	C4:A8:B1
ESC_GB6457AA_AS	IncF RST	F2:A-:B1
ESC_GB6463AA_AS	IncF RST	C4:A5:B1
ESC_GB6540AA_AS	IncF RST	F24:A-:B1
ESC_GB6614AA_AS	IncF RST	F29:A-:B10
ESC_GB6618AA_AS	IncF RST	F2:A-:B1
ESC_GB6690AA_AS	IncF RST	F29:A-:B10
ESC_GB6695AA_AS	IncF RST	F2:A-:B1
ESC_GB6696AA_AS	IncF RST	F29:A-:B10
ESC_GB6889AA_AS	IncF RST	C4:A-:B1
ESC_GB6892AA_AS	IncF RST	F2:A-:B1
ESC_GB6898AA_AS	IncF RST	F1:A1:B23
ESC_GB6899AA_AS	IncF RST	F24:A-:B1
ESC_GB6901AA_AS	IncF RST	C4:A-:B1
ESC_GB6906AA_AS	IncF RST	F29:A-:B10
ESC_GB6943AA_AS	IncF RST	F24:A-:B-
ESC_GB6953AA_AS	IncF RST	F29:A-:B10
ESC_GB9758AA_AS	IncF RST	F2:A-:B1
ESC_GB9956AA_AS	IncF RST	F2:A-:B-
ESC_HA0198AA_AS	IncF RST	F4:A-:B10
ESC_HA0238AA_AS	IncF RST	F51:A-:B10
ESC_HA0246AA_AS	IncF RST	F29:A-:B10
ESC_HA0364AA_AS	IncF RST	F2:A-:B1
ESC_HA0689AA_AS	IncF RST	F29:A-:B10
ESC_HA1968AA_AS	IncF RST	F24:A-:B1
ESC_HA2055AA_AS	IncF RST	F29:A-:B10
ESC_HA4979AA_AS	IncF RST	F24:A-:B1
ESC_HA5006AA_AS	IncF RST	C4:A-:B1
ESC_HA5023AA_AS	IncF RST	F24:A-:B1
ESC_HA5031AA_AS	IncF RST	F51:A-:B10
ESC_HA5037AA_AS	IncF RST	F16:A-:B16
ESC_HA5043AA_AS	IncF RST	F29:A-:B10
ESC_HA5076AA_AS	IncF RST	F24:A-:B1
ESC_HA5094AA_AS	IncF RST	F29:A-:B10
ESC_HA5098AA_AS	IncF RST	F29:A-:B10
ESC_HA5111AA_AS	IncF RST	C4:A-:B1
ESC_HA5117AA_AS	IncF RST	F29:A-:B10
ESC_HA5121AA_AS	IncF RST	F51:A-:B10
ESC_HA5136AA_AS	IncF RST	F29:A-:B10
ESC_HA5149AA_AS	IncF RST	F2:A-:B1
ESC_HA5153AA_AS	IncF RST	F2:A-:B1
ESC_HA5174AA_AS	IncF RST	F2:A-:B1
ESC_HA5557AA_AS	IncF RST	F51:A-:B10
ESC_HA5565AA_AS	IncF RST	F51:A-:B10
ESC_HA5568AA_AS	IncF RST	F51:A-:B10
ESC_HA5570AA_AS	IncF RST	F2:A5:B1
ESC_HA5572AA_AS	IncF RST	F51:A-:B10
ESC_HA5579AA_AS	IncF RST	F51:A-:B10
ESC_HA5580AA_AS	IncF RST	F51:A-:B10
ESC_HA5591AA_AS	IncF RST	F4:A-:B10
ESC_HA5615AA_AS	IncF RST	F24:A-:B1
ESC_HA5663AA_AS	IncF RST	F24:A-:B1
ESC_HA5665AA_AS	IncF RST	F51:A-:B10
ESC_HA5683AA_AS	IncF RST	F29:A-:B10
ESC_HA5800AA_AS	IncF RST	C4:A-:B1
ESC_HA6332AA_AS	IncF RST	C4:A-:B1
ESC_HA6342AA_AS	IncF RST	F2:A-:B1
ESC_HA6411AA_AS	IncF RST	F24:A-:B-
ESC_HA6413AA_AS	IncF RST	F2:A-:B1
ESC_HA6418AA_AS	IncF RST	F2:A-:B1
ESC_HA6420AA_AS	IncF RST	F24:A-:B-
ESC_HA7812AA_AS	IncF RST	C4:A-:B1
ESC_HA7918AA_AS	IncF RST	F13:A-:B-
ESC_HA7931AA_AS	IncF RST	F24:A-:B1
ESC_HA8230AA_AS	IncF RST	F95:A-:B10
ESC_HA8271AA_AS	IncF RST	F-:A-:B-
ESC_HA8279AA_AS	IncF RST	F29:A-:B10
ESC_HA8369AA_AS	IncF RST	C4:A-:B1
ESC_HA8540AA_AS	IncF RST	F24:A-:B1
ESC_HA9073AA_AS	IncF RST	F-:A-:B1
ESC_HB0486AA_AS	IncF RST	F29:A-:B10
ESC_HB8007AA_AS	IncF RST	F35:A-:B1
ESC_HB8577AA_AS	IncF RST	F34:A-:B1
ESC_IA0801AA_AS	IncF RST	F4:A-:B10
ESC_IA0804AA_AS	IncF RST	C4:A-:B1
ESC_IA0811AA_AS	IncF RST	F2:A-:B1
ESC_IA0816AA_AS	IncF RST	F4:A-:B10
ESC_IA1449AA_AS	IncF RST	F29:A-:B10
ESC_IA2216AA_AS	IncF RST	F29:A-:B10
ESC_IA2220AA_AS	IncF RST	F24:A-:B1
ESC_IA2221AA_AS	IncF RST	F29:A-:B10
ESC_IA2225AA_AS	IncF RST	F29:A-:B10
ESC_IA2226AA_AS	IncF RST	F29:A-:B10
ESC_IA2233AA_AS	IncF RST	F24:A-:B1
ESC_IA2239AA_AS	IncF RST	F-:A-:B-
ESC_IA2257AA_AS	IncF RST	F24:A-:B1
ESC_IA2262AA_AS	IncF RST	F29:A-:B10
ESC_IA2264AA_AS	IncF RST	F29:A-:B10
ESC_IA2269AA_AS	IncF RST	F24:A-:B1
ESC_IB6001AA_AS	IncF RST	F2:A-:B1
ESC_IB6595AA_AS	IncF RST	F29:A-:B10
ESC_IB6619AA_AS	IncF RST	F24:A-:B1
ESC_IB6797AA_AS	IncF RST	F4:A-:B1
ESC_IB7362AA_AS	IncF RST	F29:A-:B10
ESC_IB7375AA_AS	IncF RST	F2:A-:B1
ESC_IB7386AA_AS	IncF RST	F24:A-:B1
ESC_IB7413AA_AS	IncF RST	F2:A-:B1
ESC_IB7420AA_AS	IncF RST	F51:A-:B10
ESC_IB7431AA_AS	IncF RST	F29:A-:B10
ESC_IB7433AA_AS	IncF RST	F29:A-:B10
ESC_IB7438AA_AS	IncF RST	F51:A-:B10
ESC_IB7443AA_AS	IncF RST	C4:A5:B1
ESC_IB7449AA_AS	IncF RST	F24:A-:B1
ESC_IB7459AA_AS	IncF RST	F29:A-:B10
ESC_IB7463AA_AS	IncF RST	F51:A-:B10
ESC_IB7465AA_AS	IncF RST	C4:A-:B1
ESC_IB7469AA_AS	IncF RST	F2:A-:B-
ESC_IB7473AA_AS	IncF RST	F29:A-:B10
ESC_IB7486AA_AS	IncF RST	F29:A-:B10
ESC_IB7490AA_AS	IncF RST	F29:A-:B10
ESC_IB7499AA_AS	IncF RST	F51:A-:B10
ESC_IB7516AA_AS	IncF RST	F24:A-:B1
ESC_IB7517AA_AS	IncF RST	F29:A-:B10
ESC_IB7519AA_AS	IncF RST	F29:A-:B10
ESC_IB7523AA_AS	IncF RST	F29:A-:B10
ESC_IB7528AA_AS	IncF RST	F29:A-:B10
ESC_IB7529AA_AS	IncF RST	C4:A-:B8
ESC_IB7531AA_AS	IncF RST	F29:A-:B10
ESC_IB7532AA_AS	IncF RST	F29:A-:B10
ESC_IB7542AA_AS	IncF RST	F29:A-:B10
ESC_IB7548AA_AS	IncF RST	F29:A-:B10
ESC_IB7561AA_AS	IncF RST	F-:A-:B-
