#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_002128.1.fasta	NC_002128.1	14207	14272	-	pUTI89_NC_007941	16925-16990/114230	..=............	0/0	0.06	95.45	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	24073	26733	+	pUTI89_NC_007941	44230-46849/114230	.....=../......	2/43	2.29	93.69	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	28278	30002	+	pUTI89_NC_007941	50166-51891/114230	......=./......	3/3	1.51	92.76	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	30877	31217	-	pUTI89_NC_007941	32710-33050/114230	....=.../......	2/2	0.30	92.40	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	31209	32003	+	pUTI89_NC_007941	16196-16990/114230	..=............	0/0	0.70	95.85	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	35359	35665	+	pUTI89_NC_007941	58515-58818/114230	.......=/......	1/3	0.27	96.09	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	38070	38838	+	pUTI89_NC_007941	58817-59585/114230	.......=.......	0/0	0.67	93.63	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	38835	47466	+	pUTI89_NC_007941	61717-70307/114230	.......=/=.....	24/95	7.50	93.16	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	47521	51669	+	pUTI89_NC_007941	70437-74579/114230	......../==....	7/16	3.62	95.11	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	55207	55566	-	pUTI89_NC_007941	61339-61710/114230	.......=/......	2/12	0.32	87.90	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	55606	55726	-	pUTI89_NC_007941	59801-59920/114230	.......=/......	1/1	0.11	87.60	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	65760	65865	-	pUTI89_NC_007941	16120-16225/114230	..=............	0/0	0.09	85.85	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	65851	66027	+	pUTI89_NC_007941	59731-59907/114230	.......=.......	0/0	0.15	96.61	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	66033	66338	-	pUTI89_NC_007941	27238-27543/114230	...=...........	0/0	0.27	95.42	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	66339	71420	+	pUTI89_NC_007941	109153-114230/114230	......../.....=	12/12	4.44	93.53	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	71421	71581	+	pUTI89_NC_007941	1-161/114230	=..............	0/0	0.14	99.38	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	71581	72110	+	pUTI89_NC_007941	413-936/114230	=......./......	1/6	0.46	93.58	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	72290	74258	+	pUTI89_NC_007941	1125-3093/114230	=......./......	6/6	1.72	92.85	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	79587	80103	-	pUTI89_NC_007941	16196-16712/114230	..=............	0/0	0.45	95.94	pUTI89		pUTI89_NC_007941	
NC_002128.1.fasta	NC_002128.1	80095	80435	+	pUTI89_NC_007941	32710-33050/114230	....=.../......	2/2	0.30	92.69	pUTI89		pUTI89_NC_007941	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
