#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_0011749.1.fasta	NC_011749.1	1	16429	-	pUTI89_NC_007941	30105-46533/114230	...====........	0/0	14.38	99.78	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	16418	40238	-	pUTI89_NC_007941	3912-27699/114230	====..../......	3/71	20.81	99.63	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	50168	53270	-	pUTI89_NC_007941	1-3104/114230	=......./......	2/3	2.72	99.19	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	53271	62523	-	pUTI89_NC_007941	104978-114230/114230	.............==	0/0	8.10	99.98	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	62661	88257	-	pUTI89_NC_007941	79397-104993/114230	..........====.	0/0	22.41	99.98	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	89133	89458	-	pUTI89_NC_007941	14883-15209/114230	.=....../......	3/3	0.28	85.37	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	89453	107118	-	pUTI89_NC_007941	61717-79400/114230	.......=/==....	3/22	15.46	99.86	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	107115	111892	-	pUTI89_NC_007941	54808-59585/114230	.......=.......	0/0	4.18	99.98	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	111893	114024	-	pUTI89_NC_007941	59585-61716/114230	.......==......	0/0	1.87	100.00	pUTI89		pUTI89_NC_007941	
NC_0011749.1.fasta	NC_011749.1	114024	122301	-	pUTI89_NC_007941	46534-54811/114230	......==.......	0/0	7.25	99.34	pUTI89		pUTI89_NC_007941	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_007941.1.fasta	NC_007941.1	1	114230	+	pUTI89_NC_007941	1-114230/114230	===============	0/0	100.00	100.00	pUTI89		pUTI89_NC_007941	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_013175.1.fasta	NC_013175.1	1	114222	+	pUTI89_NC_007941	1-114230/114230	========/======	9/10	99.99	99.95	pUTI89		pUTI89_NC_007941	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_013655.1.fasta	NC_013655.1	1	32409	+	pUTI89_NC_007941	70847-103255/114230	.........=====.	0/0	28.37	99.99	pUTI89		pUTI89_NC_007941	
NC_013655.1.fasta	NC_013655.1	34942	45924	+	pUTI89_NC_007941	103248-114230/114230	.............==	0/0	9.61	100.00	pUTI89		pUTI89_NC_007941	
NC_013655.1.fasta	NC_013655.1	45925	46637	+	pUTI89_NC_007941	1-713/114230	=..............	0/0	0.62	100.00	pUTI89		pUTI89_NC_007941	
NC_013655.1.fasta	NC_013655.1	51770	82006	+	pUTI89_NC_007941	720-30957/114230	====..../......	1/1	26.47	99.99	pUTI89		pUTI89_NC_007941	
NC_013655.1.fasta	NC_013655.1	82036	122345	+	pUTI89_NC_007941	30526-70846/114230	...=====/=.....	2/11	35.29	99.96	pUTI89		pUTI89_NC_007941	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_017630.1.fasta	NC_017630.1	1	199	-	pUTI89_NC_007941	1-198/114230	=......./......	1/1	0.17	98.49	pUTI89		pUTI89_NC_007941	
NC_017630.1.fasta	NC_017630.1	200	114425	-	pUTI89_NC_007941	1-114230/114230	========/======	14/14	99.99	99.81	pUTI89		pUTI89_NC_007941	
