name	pMLST_scheme	pMLST
ESC_AA7856AA_AS	IncF RST	F13:A-:B-
ESC_AA7866AA_AS	IncF RST	F1:A2:B20
ESC_AA7867AA_AS	IncF RST	F-:A-:B-
ESC_AA7876AA_AS	IncF RST	K29:A-:B-
ESC_AA7885AA_AS	IncF RST	F1:A2:B-
ESC_AA7889AA_AS	IncF RST	F-:A-:B-
ESC_AA7894AA_AS	IncF RST	F36:A-:B32
ESC_AA7909AA_AS	IncF RST	F29:A-:B10
ESC_AA7919AA_AS	IncF RST	F2:A1:B1
ESC_AA7971AA_AS	IncF RST	F-:A-:B10
ESC_AA7986AA_AS	IncF RST	F2:A-:B-
ESC_AA8033AA_AS	IncF RST	F96:A-:B-
ESC_AA8044AA_AS	IncF RST	F36:A-:B32
ESC_AA8059AA_AS	IncF RST	F16:A-:B-
ESC_AA8062AA_AS	IncF RST	F1:A1:B16
ESC_AA8068AA_AS	IncF RST	F56:A-:B40
ESC_AA8070AA_AS	IncF RST	F33:A-:B-
ESC_AA8077AA_AS	IncF RST	F29:A-:B-
ESC_AA8096AA_AS	IncF RST	F2:A-:B10
ESC_AA8100AA_AS	IncF RST	F-:A-:B-
ESC_AA8101AA_AS	IncF RST	F23:A-:B3
ESC_AA8111AA_AS	IncF RST	F36:A1:B20
ESC_AA8140AA_AS	IncF RST	F-:A-:B-
ESC_AA8147AA_AS	IncF RST	F-:A1:B10
ESC_AA8155AA_AS	IncF RST	F-:A-:B15
ESC_AA8174AA_AS	IncF RST	F1:A2:B20
ESC_AA8189AA_AS	IncF RST	F29:A-:B10
ESC_AA8204AA_AS	IncF RST	F2:A2:B20
ESC_AA8205AA_AS	IncF RST	C4:A-:B1
ESC_AA8208AA_AS	IncF RST	C4:A-:B-
ESC_AA8228AA_AS	IncF RST	F-:A-:B15
ESC_AA8232AA_AS	IncF RST	F23:A-:B3
ESC_AA8252AA_AS	IncF RST	F24:A-:B1
ESC_AA8258AA_AS	IncF RST	F2:A-:B10
ESC_AA8268AA_AS	IncF RST	F-:A-:B-
ESC_AA8277AA_AS	IncF RST	F36:A1:B16
ESC_AA8284AA_AS	IncF RST	F35:A-:B-
ESC_AA8306AA_AS	IncF RST	F29:A-:B10
ESC_AA8312AA_AS	IncF RST	C4:A-:B1
ESC_AA8319AA_AS	IncF RST	F2:A-:B12
ESC_AA8322AA_AS	IncF RST	F-:A-:B-
ESC_AA8336AA_AS	IncF RST	F23:A-:B3
ESC_AA8353AA_AS	IncF RST	F2:A-:B-
ESC_AA8355AA_AS	IncF RST	F-:A-:B-
ESC_AA8362AA_AS	IncF RST	F-:A-:B-
ESC_AA8364AA_AS	IncF RST	F-:A-:B-
ESC_AA8372AA_AS	IncF RST	F57:A-:B-
ESC_AA8376AA_AS	IncF RST	C4:A6:B1
ESC_AA8396AA_AS	IncF RST	F2:A1:B-
ESC_AA8398AA_AS	IncF RST	F-:A-:B-
ESC_AA8402AA_AS	IncF RST	F2:A-:B-
ESC_AA8426AA_AS	IncF RST	F48:A-:B25
ESC_AA8447AA_AS	IncF RST	F33:A-:B1
ESC_AA8464AA_AS	IncF RST	F-:A-:B-
ESC_AA8527AA_AS	IncF RST	F2:A-:B1
ESC_AA8528AA_AS	IncF RST	F16:A-:B-
ESC_AA8534AA_AS	IncF RST	C4:A5:B1
ESC_AA8536AA_AS	IncF RST	F40:A-:B-
ESC_AA8538AA_AS	IncF RST	F-:A-:B-
ESC_AA8549AA_AS	IncF RST	F40:A-:B-
ESC_AA8581AA_AS	IncF RST	F-:A-:B-
ESC_AA8582AA_AS	IncF RST	F34:A-:B1
ESC_AA8601AA_AS	IncF RST	F57:A-:B-
ESC_AA8604AA_AS	IncF RST	F22:A1:B20
ESC_AA8627AA_AS	IncF RST	F-:A-:B-
ESC_AA8650AA_AS	IncF RST	F20:A-:B12
ESC_AA8677AA_AS	IncF RST	F64:A-:B24
ESC_AA8720AA_AS	IncF RST	C4:A-:B8
ESC_AA8741AA_AS	IncF RST	F2:A-:B1
ESC_AA8760AA_AS	IncF RST	C4:A6:B1
ESC_AA8761AA_AS	IncF RST	F29:A-:B10
ESC_AA8787AA_AS	IncF RST	F-:A-:B-
ESC_AA8820AA_AS	IncF RST	F33:A-:B42
ESC_AA8826AA_AS	IncF RST	C4:A-:B1
ESC_AA8861AA_AS	IncF RST	F40:A-:B-
ESC_AA8870AA_AS	IncF RST	F-:A-:B13
ESC_AA8873AA_AS	IncF RST	C4:A5:B1
ESC_AA8878AA_AS	IncF RST	F-:A-:B-
ESC_AA8896AA_AS	IncF RST	F29:A-:B10
ESC_AA8918AA_AS	IncF RST	F23:A-:B3
ESC_AA8923AA_AS	IncF RST	F-:A-:B11
ESC_AA8934AA_AS	IncF RST	F1:A1:B1
ESC_AA8936AA_AS	IncF RST	F24:A-:B1
ESC_AA8939AA_AS	IncF RST	F35:A-:B-
ESC_AA8956AA_AS	IncF RST	F4:A2:B-
ESC_AA8965AA_AS	IncF RST	F2:A1:B-
ESC_AA8972AA_AS	IncF RST	F2:A1:B-
ESC_AA9006AA_AS	IncF RST	C4:A-:B1
ESC_AA9021AA_AS	IncF RST	F19:A-:B42
ESC_AA9042AA_AS	IncF RST	F40:A6:B1
ESC_AA9051AA_AS	IncF RST	F2:A1:B-
ESC_AA9080AA_AS	IncF RST	F1:A1:B23
ESC_AA9082AA_AS	IncF RST	F-:A-:B-
ESC_AA9088AA_AS	IncF RST	F2:A-:B1
ESC_AA9105AA_AS	IncF RST	F2:A1:B1
ESC_AA9138AA_AS	IncF RST	F23:A-:B3
ESC_AA9242AA_AS	IncF RST	F-:A-:B-
ESC_AA9282AA_AS	IncF RST	F29:A-:B10
ESC_AA9291AA_AS	IncF RST	F-:A-:B-
ESC_AA9296AA_AS	IncF RST	C4:A-:B1
ESC_AA9310AA_AS	IncF RST	F-:A-:B-
ESC_AA9316AA_AS	IncF RST	F-:A-:B-
ESC_AA9323AA_AS	IncF RST	F56:A-:B61
ESC_AA9324AA_AS	IncF RST	C4:A-:B1
ESC_AA9341AA_AS	IncF RST	F-:A-:B-
ESC_AA9370AA_AS	IncF RST	F-:A-:B1
ESC_AA9389AA_AS	IncF RST	C4:A-:B1
ESC_AA9392AA_AS	IncF RST	C4:A-:B8
ESC_AA9405AA_AS	IncF RST	F29:A-:B10
ESC_AA9415AA_AS	IncF RST	F1:A2:B20
ESC_AA9419AA_AS	IncF RST	F-:A-:B11
ESC_AA9421AA_AS	IncF RST	F24:A-:B-
ESC_AA9428AA_AS	IncF RST	F2:A-:B-
ESC_AA9454AA_AS	IncF RST	F-:A-:B11
ESC_AA9457AA_AS	IncF RST	F77:A6:B-
ESC_AA9460AA_AS	IncF RST	F-:A2:B20
ESC_AA9463AA_AS	IncF RST	F59:A-:B3
ESC_AA9472AA_AS	IncF RST	F-:A-:B-
ESC_AA9488AA_AS	IncF RST	F-:A-:B-
ESC_AA9489AA_AS	IncF RST	F43:A-:B1
ESC_AA9494AA_AS	IncF RST	F-:A-:B-
ESC_AA9512AA_AS	IncF RST	F29:A-:B10
ESC_AA9524AA_AS	IncF RST	F-:A-:B1
ESC_AA9526AA_AS	IncF RST	F-:A-:B-
ESC_AA9535AA_AS	IncF RST	F-:A-:B-
ESC_AA9556AA_AS	IncF RST	F18:A-:B1
ESC_AA9571AA_AS	IncF RST	F77:A-:B-
ESC_AA9582AA_AS	IncF RST	F-:A-:B-
ESC_AA9595AA_AS	IncF RST	F4:A2:B-
ESC_AA9602AA_AS	IncF RST	F-:A-:B-
ESC_AA9610AA_AS	IncF RST	C4:A-:B8
ESC_AA9618AA_AS	IncF RST	F-:A-:B-
ESC_AA9634AA_AS	IncF RST	F23:A-:B3
ESC_AA9637AA_AS	IncF RST	F95:A-:B24
ESC_AA9640AA_AS	IncF RST	C4:A-:B1
ESC_AA9641AA_AS	IncF RST	F-:A-:B-
ESC_AA9657AA_AS	IncF RST	F-:A-:B11
ESC_AA9690AA_AS	IncF RST	F2:A2:B20
ESC_AA9694AA_AS	IncF RST	F2:A1:B16
ESC_AA9722AA_AS	IncF RST	F-:A-:B11
ESC_AA9740AA_AS	IncF RST	F29:A-:B10
ESC_AA9741AA_AS	IncF RST	F-:A-:B-
ESC_AA9754AA_AS	IncF RST	F29:A-:B10
ESC_AA9786AA_AS	IncF RST	F77:A-:B-
ESC_AA9789AA_AS	IncF RST	F34:A-:B1
ESC_AA9817AA_AS	IncF RST	F-:A-:B-
ESC_AA9819AA_AS	IncF RST	F12:A-:B-
