#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
NC_002128.1.fasta	NC_002128.1	14207	14272	+	pSF-088	31592-31657/128898	...=...........	0/0	0.05	95.45	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	15214	15562	-	pSF-088	32999-33331/128898	...=..../......	3/18	0.26	82.86	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	15592	15702	+	pSF-088	69420-69530/128898	........=......	0/0	0.09	93.69	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	24072	26727	-	pSF-088	23471-26126/128898	..==...........	0/0	2.06	97.21	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	30694	32003	-	pSF-088	31592-32901/128898	...=...........	0/0	1.02	95.95	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	32614	35288	-	pSF-088	2167-4847/128898	=......./......	4/8	2.07	92.47	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	41367	41727	-	pSF-088	1661-2020/128898	=......./......	1/1	0.28	88.92	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	41725	43748	-	pSF-088	126127-128133/128898	......../.....=	5/17	1.56	92.00	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	43741	47544	-	pSF-088	119781-123548/128898	......../.....=	8/44	2.92	96.11	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	47526	51669	-	pSF-088	115567-119712/128898	......../....==	7/10	3.21	92.72	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	55207	55566	-	pSF-088	22858-23229/128898	..=...../......	2/12	0.28	87.90	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	66033	66339	-	pSF-088	31591-31897/128898	...=...........	0/0	0.24	94.79	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	66339	71580	-	pSF-088	78431-83673/128898	......../==....	1/1	4.07	97.67	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	71581	72032	-	pSF-088	77727-78178/128898	.........=.....	0/0	0.35	98.89	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	72290	74258	-	pSF-088	75462-77476/128898	......../=.....	4/46	1.53	91.51	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
NC_002128.1.fasta	NC_002128.1	79587	80618	+	pSF-088	31870-32901/128898	...=...........	0/0	0.80	94.67	pSF_088_nores		pSF-088 NZ_CP012636 bases associated with AMR region 66041-96825 removed	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
