name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
ESC_AA7971AA_AS	5131083	394	13023.05	502766	86	723	2	175567	8	114687	16	37743	27
ESC_AA9421AA_AS	5256780	135	38939.11	527776	82	373	4	348608	6	135380	12	48349	25
ESC_BA0967AA_AS	5060279	110	46002.54	768587	89	1241	8	412067	4	219951	8	50989	17
ESC_BA1000AA_AS	5116201	110	46510.92	653322	78	420	7	229460	7	171047	13	61597	21
ESC_BA1242AA_AS	4959656	90	55107.29	528815	83	820	9	182283	7	152970	13	45870	23
ESC_BA1451AA_AS	5127194	197	26026.37	754076	82	356	6	246237	7	124088	13	31082	27
ESC_BA2267AA_AS	5295487	203	26086.14	630898	80	360	6	186535	9	79391	19	30525	42
ESC_BA2574AA_AS	5131443	128	40089.40	658396	78	739	14	175923	9	121976	16	55623	27
ESC_BA3061AA_AS	5060984	133	38052.51	475063	76	0	0	185937	9	163697	14	49407	25
ESC_BA3227AA_AS	4976243	123	40457.26	812502	80	1243	11	171592	9	109060	16	44366	32
ESC_BA3967AA_AS	5025537	93	54038.03	658670	78	680	6	286193	6	173837	10	55623	18
ESC_BA4108AA_AS	5139043	97	52979.82	625677	128	503	7	352506	6	161732	11	44137	20
ESC_BA4389AA_AS	5110115	154	33182.56	504471	84	464	6	194201	9	125748	16	33553	32
ESC_BA5185AA_AS	5100296	113	45135.36	485617	86	689	8	264142	7	138821	13	62535	23
ESC_BA5541AA_AS	5132446	136	37738.57	621197	82	362	2	203502	7	114690	14	48013	27
ESC_BA6731AA_AS	5102711	170	30015.95	430383	78	449	4	203908	8	144873	14	34077	29
ESC_BA7454AA_AS	5195344	89	58374.65	626786	128	383	22	221596	8	129558	14	47499	27
ESC_BA7761AA_AS	5109614	88	58063.80	669791	86	447	4	267959	5	123909	11	74238	20
ESC_BA8039AA_AS	5280553	264	20002.09	378370	88	24	3	114575	13	59711	25	22418	53
ESC_BA8085AA_AS	5141943	106	48508.90	765521	95	654	6	563794	4	175985	9	53820	18
