"","pAPEC_O2_ColV","working_name","Percent_hit"
"ESC_AA7971AA_AS",16182,"ESC_AA7971AA_AS",9
"ESC_AA9421AA_AS",88038,"ESC_AA9421AA_AS",48
"ESC_BA0967AA_AS",26749,"ESC_BA0967AA_AS",14
"ESC_BA1000AA_AS",28618,"ESC_BA1000AA_AS",16
"ESC_BA1242AA_AS",6967,"ESC_BA1242AA_AS",4
"ESC_BA1451AA_AS",27282,"ESC_BA1451AA_AS",15
"ESC_BA2267AA_AS",31962,"ESC_BA2267AA_AS",17
"ESC_BA2574AA_AS",28219,"ESC_BA2574AA_AS",15
"ESC_BA3061AA_AS",27606,"ESC_BA3061AA_AS",15
"ESC_BA3227AA_AS",6967,"ESC_BA3227AA_AS",4
"ESC_BA3967AA_AS",6967,"ESC_BA3967AA_AS",4
"ESC_BA4108AA_AS",90897,"ESC_BA4108AA_AS",49
"ESC_BA4389AA_AS",91409,"ESC_BA4389AA_AS",50
"ESC_BA5185AA_AS",14226,"ESC_BA5185AA_AS",8
"ESC_BA5541AA_AS",37833,"ESC_BA5541AA_AS",21
"ESC_BA6731AA_AS",27282,"ESC_BA6731AA_AS",15
"ESC_BA7454AA_AS",27081,"ESC_BA7454AA_AS",15
"ESC_BA7761AA_AS",37833,"ESC_BA7761AA_AS",21
"ESC_BA8039AA_AS",82213,"ESC_BA8039AA_AS",45
"ESC_BA8085AA_AS",86139,"ESC_BA8085AA_AS",47
"ESC_BA8137AA_AS",82962,"ESC_BA8137AA_AS",45
"ESC_BA8190AA_AS",86892,"ESC_BA8190AA_AS",47
"ESC_BA8258AA_AS",28536,"ESC_BA8258AA_AS",15
"ESC_BA8511AA_AS",87712,"ESC_BA8511AA_AS",48
"ESC_CA0637AA_AS",40830,"ESC_CA0637AA_AS",22
"ESC_CA0677AA_AS",30189,"ESC_CA0677AA_AS",16
"ESC_CA0894AA_AS",34063,"ESC_CA0894AA_AS",18
"ESC_CA0987AA_AS",6233,"ESC_CA0987AA_AS",3
"ESC_CA1134AA_AS",31239,"ESC_CA1134AA_AS",17
"ESC_CA1554AA_AS",86656,"ESC_CA1554AA_AS",47
"ESC_CA2031AA_AS",81068,"ESC_CA2031AA_AS",44
"ESC_CA2085AA_AS",75371,"ESC_CA2085AA_AS",41
"ESC_CA2243AA_AS",18991,"ESC_CA2243AA_AS",10
"ESC_CA2638AA_AS",75655,"ESC_CA2638AA_AS",41
"ESC_CA2654AA_AS",8190,"ESC_CA2654AA_AS",4
"ESC_CA2708AA_AS",83005,"ESC_CA2708AA_AS",45
"ESC_CA2713AA_AS",32175,"ESC_CA2713AA_AS",17
"ESC_CA2823AA_AS",15897,"ESC_CA2823AA_AS",9
"ESC_CA3069AA_AS",86409,"ESC_CA3069AA_AS",47
"ESC_CA3085AA_AS",26416,"ESC_CA3085AA_AS",14
"ESC_CA3089AA_AS",83485,"ESC_CA3089AA_AS",45
"ESC_CA3176AA_AS",28703,"ESC_CA3176AA_AS",16
"ESC_CA3553AA_AS",89046,"ESC_CA3553AA_AS",48
"ESC_CA3698AA_AS",49503,"ESC_CA3698AA_AS",27
"ESC_CA4056AA_AS",90312,"ESC_CA4056AA_AS",49
"ESC_CA4172AA_AS",81286,"ESC_CA4172AA_AS",44
"ESC_CA4203AA_AS",90907,"ESC_CA4203AA_AS",49
"ESC_CA4416AA_AS",87740,"ESC_CA4416AA_AS",48
"ESC_CA4774AA_AS",37820,"ESC_CA4774AA_AS",20
"ESC_CA4830AA_AS",28618,"ESC_CA4830AA_AS",16
"ESC_CA4887AA_AS",86212,"ESC_CA4887AA_AS",47
"ESC_CA4893AA_AS",96938,"ESC_CA4893AA_AS",53
"ESC_CA5088AA_AS",28386,"ESC_CA5088AA_AS",15
"ESC_CA5131AA_AS",89410,"ESC_CA5131AA_AS",48
"ESC_CA5222AA_AS",88085,"ESC_CA5222AA_AS",48
"ESC_CA5420AA_AS",28464,"ESC_CA5420AA_AS",15
"ESC_CA5467AA_AS",90235,"ESC_CA5467AA_AS",49
"ESC_CA5548AA_AS",82519,"ESC_CA5548AA_AS",45
"ESC_CA5584AA_AS",88111,"ESC_CA5584AA_AS",48
"ESC_CA5697AA_AS",87289,"ESC_CA5697AA_AS",47
"ESC_CA5710AA_AS",89023,"ESC_CA5710AA_AS",48
"ESC_CA5916AA_AS",68582,"ESC_CA5916AA_AS",37
"ESC_CA5933AA_AS",86734,"ESC_CA5933AA_AS",47
"ESC_CA6119AA_AS",88539,"ESC_CA6119AA_AS",48
"ESC_CA6132AA_AS",28105,"ESC_CA6132AA_AS",15
"ESC_CA6171AA_AS",33094,"ESC_CA6171AA_AS",18
"ESC_CA6221AA_AS",88675,"ESC_CA6221AA_AS",48
"ESC_CA6245AA_AS",86330,"ESC_CA6245AA_AS",47
"ESC_CA6287AA_AS",86741,"ESC_CA6287AA_AS",47
"ESC_CA6295AA_AS",37918,"ESC_CA6295AA_AS",21
"ESC_CA6692AA_AS",37699,"ESC_CA6692AA_AS",20
"ESC_CA6770AA_AS",87594,"ESC_CA6770AA_AS",47
"ESC_CB2269AA_AS",31560,"ESC_CB2269AA_AS",17
"ESC_CB2297AA_AS",28320,"ESC_CB2297AA_AS",15
"ESC_CB2309AA_AS",40440,"ESC_CB2309AA_AS",22
"ESC_CB2317AA_AS",89325,"ESC_CB2317AA_AS",48
"ESC_CB2345AA_AS",30578,"ESC_CB2345AA_AS",17
"ESC_CB2384AA_AS",88860,"ESC_CB2384AA_AS",48
"ESC_CB2447AA_AS",90743,"ESC_CB2447AA_AS",49
"ESC_CB2459AA_AS",72521,"ESC_CB2459AA_AS",39
"ESC_CB7223AA_AS",94171,"ESC_CB7223AA_AS",51
"ESC_CB8726AA_AS",42294,"ESC_CB8726AA_AS",23
"ESC_CB8729AA_AS",88555,"ESC_CB8729AA_AS",48
"ESC_CB8822AA_AS",89905,"ESC_CB8822AA_AS",49
"ESC_CB8832AA_AS",42386,"ESC_CB8832AA_AS",23
"ESC_CB8888AA_AS",102116,"ESC_CB8888AA_AS",55
"ESC_CB8931AA_AS",104504,"ESC_CB8931AA_AS",57
"ESC_CB9097AA_AS",89363,"ESC_CB9097AA_AS",48
"ESC_CB9169AA_AS",43719,"ESC_CB9169AA_AS",24
"ESC_FA1638AA_AS",72823,"ESC_FA1638AA_AS",39
"ESC_FA6906AA_AS",34425,"ESC_FA6906AA_AS",19
"ESC_FA6908AA_AS",33538,"ESC_FA6908AA_AS",18
"ESC_FA7190AA_AS",88128,"ESC_FA7190AA_AS",48
"ESC_FA8050AA_AS",41906,"ESC_FA8050AA_AS",23
